,x,y
0,"I thought Bobby was [MASK], but instead he was very hopeless.",hopeful
1,"I thought Alexander was [MASK], but instead he was very easy.",difficult
2,"I thought Alexander was [MASK], but instead he was very strange.",familiar
3,"I thought Mark was [MASK], but instead he was very stupid.",smart
4,"I thought Benjamin was [MASK], but instead he was very unhappy.",happy
5,"I thought John was [MASK], but instead he was very known.",unknown
6,"I thought Henry was [MASK], but instead he was very hostile.",friendly
7,"I thought Mike was [MASK], but instead he was very poor.",rich
8,"I thought Andrew was [MASK], but instead he was very good.",bad
9,"I thought Carl was [MASK], but instead he was very rich.",poor
10,"I thought James was [MASK], but instead he was very straight.",corrupt
11,"I thought Joe was [MASK], but instead he was very offensive.",defensive
12,"I thought Bobby was [MASK], but instead he was very imperfect.",perfect
13,"I thought Harry was [MASK], but instead he was very come.",gone
14,"I thought Arthur was [MASK], but instead he was very conservative.",progressive
15,"I thought Albert was [MASK], but instead he was very confident.",shy
16,"I thought Francis was [MASK], but instead he was very easy.",difficult
17,"I thought Tony was [MASK], but instead he was very intelligent.",stupid
18,"I thought Albert was [MASK], but instead he was very hopeless.",hopeful
19,"I thought Paul was [MASK], but instead he was very good.",evil
20,"I thought Robert was [MASK], but instead he was very negative.",positive
21,"I thought Peter was [MASK], but instead he was very early.",late
22,"I thought Jimmy was [MASK], but instead he was very patient.",impatient
23,"I thought Edward was [MASK], but instead he was very negative.",positive
24,"I thought Harold was [MASK], but instead he was very invisible.",conspicuous
25,"I thought Robert was [MASK], but instead he was very fearful.",courageous
26,"I thought James was [MASK], but instead he was very impatient.",patient
27,"I thought Don was [MASK], but instead he was very stupid.",smart
28,"I thought Fred was [MASK], but instead he was very progressive.",conservative
29,"I thought John was [MASK], but instead he was very unhealthy.",healthy
30,"I thought Carl was [MASK], but instead he was very pessimistic.",optimistic
31,"I thought Albert was [MASK], but instead he was very valuable.",worthless
32,"I thought Albert was [MASK], but instead he was very unreliable.",reliable
33,"I thought Steven was [MASK], but instead he was very powerful.",powerless
34,"I thought Mark was [MASK], but instead he was very negative.",positive
35,"I thought Fred was [MASK], but instead he was very passive.",active
36,"I thought Frederick was [MASK], but instead he was very nasty.",nice
37,"I thought Richard was [MASK], but instead he was very cold.",hot
38,"I thought Simon was [MASK], but instead he was very stupid.",smart
39,"I thought Ron was [MASK], but instead he was very different.",similar
40,"I thought Matthew was [MASK], but instead he was very unhealthy.",healthy
41,"I thought Tim was [MASK], but instead he was very amateur.",professional
42,"I thought Jeff was [MASK], but instead he was very cool.",warm
43,"I thought Larry was [MASK], but instead he was very negative.",positive
44,"I thought George was [MASK], but instead he was very comfortable.",uncomfortable
45,"I thought Jim was [MASK], but instead he was very unavailable.",available
46,"I thought Brian was [MASK], but instead he was very pessimistic.",optimistic
47,"I thought Jonathan was [MASK], but instead he was very predictable.",unpredictable
48,"I thought Steven was [MASK], but instead he was very fearless.",afraid
49,"I thought Harry was [MASK], but instead he was very old.",new
50,"I thought Alexander was [MASK], but instead he was very good.",ill
51,"I thought Mark was [MASK], but instead he was very thirsty.",hungry
52,"I thought Lawrence was [MASK], but instead he was very simple.",complex
53,"I thought Richard was [MASK], but instead he was very offensive.",defensive
54,"I thought Jonathan was [MASK], but instead he was very stupid.",smart
55,"I thought Alexander was [MASK], but instead he was very stupid.",smart
56,"I thought Benjamin was [MASK], but instead he was very intellectual.",emotional
57,"I thought Chris was [MASK], but instead he was very positive.",negative
58,"I thought Bob was [MASK], but instead he was very proud.",humble
59,"I thought Martin was [MASK], but instead he was very early.",late
60,"I thought Christopher was [MASK], but instead he was very nasty.",nice
61,"I thought Patrick was [MASK], but instead he was very useful.",useless
62,"I thought Joseph was [MASK], but instead he was very similar.",different
63,"I thought Joseph was [MASK], but instead he was very liberal.",conservative
64,"I thought Samuel was [MASK], but instead he was very powerful.",powerless
65,"I thought Jonathan was [MASK], but instead he was very cerebral.",emotional
66,"I thought Albert was [MASK], but instead he was very stable.",unstable
67,"I thought Jerry was [MASK], but instead he was very hot.",cold
68,"I thought Scott was [MASK], but instead he was very unhappy.",happy
69,"I thought Charlie was [MASK], but instead he was very known.",unknown
70,"I thought Mike was [MASK], but instead he was very useful.",useless
71,"I thought Philip was [MASK], but instead he was very negative.",positive
72,"I thought Edwin was [MASK], but instead he was very timid.",brave
73,"I thought Ryan was [MASK], but instead he was very cold.",hot
74,"I thought Eric was [MASK], but instead he was very honest.",dishonest
75,"I thought Kenneth was [MASK], but instead he was very liquid.",solid
76,"I thought Matthew was [MASK], but instead he was very weak.",strong
77,"I thought John was [MASK], but instead he was very easy.",difficult
78,"I thought Larry was [MASK], but instead he was very advance.",broken
79,"I thought Steve was [MASK], but instead he was very impatient.",patient
80,"I thought Sam was [MASK], but instead he was very careless.",careful
81,"I thought Ryan was [MASK], but instead he was very careless.",careful
82,"I thought Chris was [MASK], but instead he was very organic.",functional
83,"I thought Chris was [MASK], but instead he was very quiet.",active
84,"I thought Michael was [MASK], but instead he was very polite.",rude
85,"I thought Dan was [MASK], but instead he was very smart.",stupid
86,"I thought Louis was [MASK], but instead he was very progressive.",conservative
87,"I thought Joe was [MASK], but instead he was very timid.",brave
88,"I thought Mike was [MASK], but instead he was very simple.",complex
89,"I thought Hugh was [MASK], but instead he was very different.",like
90,"I thought Mark was [MASK], but instead he was very intellectual.",emotional
91,"I thought Mike was [MASK], but instead he was very large.",small
92,"I thought Benjamin was [MASK], but instead he was very invisible.",visible
93,"I thought Steven was [MASK], but instead he was very independent.",dependent
94,"I thought Carl was [MASK], but instead he was very cheap.",expensive
95,"I thought Kevin was [MASK], but instead he was very right.",wrong
96,"I thought George was [MASK], but instead he was very confident.",shy
97,"I thought Edward was [MASK], but instead he was very good.",evil
98,"I thought Patrick was [MASK], but instead he was very intellectual.",emotional
99,"I thought Steven was [MASK], but instead he was very valuable.",worthless
100,"I thought Jim was [MASK], but instead he was very fearful.",courageous
101,"I thought John was [MASK], but instead he was very good.",evil
102,"I thought Andrew was [MASK], but instead he was very little.",much
103,"I thought Peter was [MASK], but instead he was very unavailable.",available
104,"I thought Hugh was [MASK], but instead he was very pessimistic.",optimistic
105,"I thought Louis was [MASK], but instead he was very early.",late
106,"I thought Simon was [MASK], but instead he was very honest.",dishonest
107,"I thought Jerry was [MASK], but instead he was very break.",made
108,"I thought Dave was [MASK], but instead he was very good.",evil
109,"I thought Dick was [MASK], but instead he was very liquid.",solid
110,"I thought Keith was [MASK], but instead he was very poor.",rich
111,"I thought Philip was [MASK], but instead he was very unhealthy.",healthy
112,"I thought Arthur was [MASK], but instead he was very impatient.",patient
113,"I thought James was [MASK], but instead he was very progressive.",conservative
114,"I thought Keith was [MASK], but instead he was very independent.",dependent
115,"I thought Dick was [MASK], but instead he was very beautiful.",ugly
116,"I thought Tony was [MASK], but instead he was very stupid.",smart
117,"I thought Alan was [MASK], but instead he was very safe.",dangerous
118,"I thought Brian was [MASK], but instead he was very small.",big
119,"I thought Billy was [MASK], but instead he was very thirsty.",hungry
120,"I thought Ralph was [MASK], but instead he was very useful.",useless
121,"I thought Stephen was [MASK], but instead he was very black.",white
122,"I thought Mike was [MASK], but instead he was very organic.",functional
123,"I thought Jimmy was [MASK], but instead he was very general.",specific
124,"I thought Christopher was [MASK], but instead he was very clean.",dirty
125,"I thought Jay was [MASK], but instead he was very early.",late
126,"I thought Larry was [MASK], but instead he was very valuable.",worthless
127,"I thought Fred was [MASK], but instead he was very cool.",warm
128,"I thought Charlie was [MASK], but instead he was very negative.",positive
129,"I thought Simon was [MASK], but instead he was very safe.",dangerous
130,"I thought Joseph was [MASK], but instead he was very polite.",rude
131,"I thought David was [MASK], but instead he was very dry.",sweet
132,"I thought Dick was [MASK], but instead he was very mild.",intense
133,"I thought Louis was [MASK], but instead he was very clean.",dirty
134,"I thought Al was [MASK], but instead he was very good.",evil
135,"I thought Albert was [MASK], but instead he was very playful.",serious
136,"I thought Jason was [MASK], but instead he was very discouraging.",encouraging
137,"I thought Brian was [MASK], but instead he was very conservative.",progressive
138,"I thought Billy was [MASK], but instead he was very small.",big
139,"I thought Kenneth was [MASK], but instead he was very unreliable.",reliable
140,"I thought Simon was [MASK], but instead he was very fearful.",courageous
141,"I thought George was [MASK], but instead he was very pessimistic.",optimistic
142,"I thought Walter was [MASK], but instead he was very public.",private
143,"I thought Carl was [MASK], but instead he was very good.",evil
144,"I thought Eric was [MASK], but instead he was very warm.",cool
145,"I thought Jay was [MASK], but instead he was very predictable.",unpredictable
146,"I thought Ryan was [MASK], but instead he was very dangerous.",safe
147,"I thought Adam was [MASK], but instead he was very white.",black
148,"I thought Benjamin was [MASK], but instead he was very well.",sick
149,"I thought Jack was [MASK], but instead he was very strong.",weak
150,"I thought Simon was [MASK], but instead he was very negative.",positive
151,"I thought Louis was [MASK], but instead he was very imperfect.",perfect
152,"I thought Chris was [MASK], but instead he was very short.",tall
153,"I thought Paul was [MASK], but instead he was very imperfect.",perfect
154,"I thought Sam was [MASK], but instead he was very foolish.",wise
